,validated_time_rate,validated_time_rate_1,highest_version_mean_validated,highest_version_mean_validated_1,time_consulting_help,time_consulting_help_1,mean_test_per_subject,mean_test_per_subject_1,mean_size_modification_per_test,mean_size_modification_per_test_1,mean_modification_per_subject,mean_modification_per_subject_1,mean_time_active,mean_time_active_1,experimentation_quality,experimentation_quality_1,validation_quality,validation_quality_1,score,score_1
2870,0.0,0.5502777777777778,0.0,3.5,0.0,0.0,14.0,7.0,501.35714285714283,607.8571428571429,220.0,77.33333333333333,0.591809,1.052446,0.0,0.0,0.09642857142857143,0.2157894736842105,0.0,70.0
2871,0.22111111111111112,0.11055555555555556,4.0,4.0,0.0,0.0,2.0,2.0,1409.5,1409.5,63.0,63.0,0.943743,1.890115,0.0,0.0,0.45,0.45,40.0,40.0
3218,0.8811111111111111,0.8486111111111111,2.2857142857142856,2.625,0.0,8.0,2.5555555555555554,2.642857142857143,432.4782608695652,413.6756756756757,24.88888888888889,38.357142857142854,0.734735,0.73957,0.0,0.0,0.431578947368421,0.40624999999999994,160.0,210.0
3269,0.935,0.7569444444444444,2.0,2.25,0.0,0.0,7.5,5.7,113.82222222222222,135.98245614035088,46.5,52.3,0.543636,0.588794,0.0,0.0,0.32599999999999996,0.37812499999999993,120.0,180.0
3357,0.5038888888888889,0.25194444444444447,4.0,4.0,0.0,0.0,10.25,10.25,142.70731707317074,142.70731707317074,73.75,73.75,0.443726,0.890931,0.0,0.0,0.12804878048780488,0.12804878048780488,40.0,40.0
3987,0.8194444444444444,0.41,2.1666666666666665,2.1666666666666665,0.0,0.0,6.25,6.75,106.96,100.51851851851852,45.0,45.875,0.426565,0.799643,0.0,0.0,0.30322580645161273,0.28970588235294104,130.0,130.0
3994,0.7816666666666666,0.4761111111111111,2.6666666666666665,2.75,0.0,0.0,7.5,10.5,159.23333333333332,124.11111111111111,65.25,87.16666666666667,0.636556,0.68423,0.0,0.0,0.28684210526315784,0.19999999999999982,80.0,110.0
5206,0.40055555555555555,0.3025,3.0,3.3333333333333335,0.0,0.0,7.75,11.0,184.4516129032258,132.6818181818182,55.25,96.66666666666667,0.40703,0.351743,0.0,0.0,0.3964285714285713,0.27777777777777757,60.0,100.0
5207,0.4583333333333333,0.22916666666666666,3.25,3.25,0.0,0.0,4.875,5.333333333333333,222.87179487179486,223.10416666666666,42.875,57.888888888888886,0.397407,0.518025,0.0,0.0,0.31521739130434767,0.2983333333333332,130.0,130.0
5208,0.5961111111111111,0.42027777777777775,4.0,3.5,0.0,0.0,17.0,16.666666666666668,129.08823529411765,123.56,99.5,123.0,0.462565,0.447384,0.0,0.0,0.16250000000000006,0.17948717948717946,40.0,70.0
5209,0.0,0.21166666666666667,0.0,4.0,4.0,4.0,2.0,4.75,394.3333333333333,264.89473684210526,44.666666666666664,67.625,0.403295,0.418566,0.0,0.0,0.0,0.171875,0.0,80.0
5210,0.3411111111111111,0.24472222222222223,3.0,2.6666666666666665,68.0,125.0,7.6,7.222222222222222,200.6315789473684,200.84615384615384,49.8,60.111111111111114,0.480954,0.500208,0.75,0.75,0.1638888888888888,0.15952380952380937,60.0,80.0
5212,0.6161111111111112,0.46055555555555555,2.6666666666666665,3.3333333333333335,0.0,0.0,8.8,8.125,72.06818181818181,202.15384615384616,46.4,71.0,0.447123,0.404017,0.0,0.0,0.20781249999999993,0.22599999999999987,80.0,100.0
5213,0.3088888888888889,0.29055555555555557,3.0,2.6666666666666665,2.0,8.0,7.166666666666667,9.11111111111111,155.27906976744185,199.4390243902439,50.5,64.33333333333333,0.393273,0.40849,0.75,0.75,0.2374999999999998,0.2029850746268655,60.0,80.0
5223,0.43666666666666665,0.6225,3.0,2.75,6.0,6.0,4.75,7.125,238.94736842105263,167.96491228070175,42.5,60.25,0.810478,0.569541,0.0,0.0,0.27187500000000003,0.2075471698113206,60.0,110.0
5225,0.1761111111111111,0.8413888888888889,4.0,3.5,0.0,0.0,4.5,5.7272727272727275,136.44444444444446,182.22222222222223,15.5,38.27272727272727,1.116149,0.585639,0.0,0.0,0.35000000000000003,0.33076923076923065,40.0,140.0
5238,0.5222222222222223,0.6766666666666666,3.0,2.6666666666666665,3.0,3.0,4.571428571428571,3.3333333333333335,222.125,293.225,37.285714285714285,36.083333333333336,0.503526,0.608039,1.0,1.0,0.8642857142857142,0.8681818181818183,90.0,160.0
