validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe5	Classe4	Classe3	Classe3	Classe1	Classe2	Classe2	Classe2	Classe5	Classe5	Classe3	Classe4	Classe4	Classe4	Classe3	Classe5	Classe5	Classe4	High	High	0.0796052	0.920395	High
Classe5	Classe4	Classe2	Classe3	Classe1	Classe1	Classe3	Classe2	Classe2	Classe4	Classe3	Classe4	Classe3	Classe4	Classe3	Classe5	Classe4	Classe5	High	High	0.265033	0.734967	High
Classe4	Classe1	Classe4	Classe1	Classe1	Classe1	Classe4	Classe1	Classe2	Classe1	Classe4	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe1	Low	Low	0.755241	0.244759	Low
Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Classe3	Classe2	Classe2	Classe5	Classe3	Classe2	Classe3	Classe6	Classe3	Classe5	Classe4	Classe2	High	High	0.0798804	0.92012	High
Classe5	Classe2	Classe3	Classe3	Classe1	Classe1	Classe3	Classe4	Classe2	Classe2	Classe4	Classe4	Classe4	Classe4	Classe3	Classe5	Classe4	Classe3	High	High	0.280171	0.719829	High
Classe4	Classe2	Classe3	Classe4	Classe1	Classe1	Classe3	Classe5	Classe2	Classe2	Classe4	Classe5	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.293212	0.706788	High
Classe4	Classe1	Classe4	Classe1	Classe1	Classe1	Classe2	Classe4	Classe3	Classe2	Classe3	Classe5	Classe3	Classe4	Classe3	Classe5	Classe4	Classe4	High	High	0.139814	0.860186	High
Classe4	Classe3	Classe4	Classe3	Classe1	Classe1	Classe6	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe3	Low	Low	0.848905	0.151095	Low
Classe1	Classe3	Classe1	Classe4	Classe2	Classe1	Classe1	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe3	Classe3	Classe5	Classe1	Classe3	Low	Low	0.752284	0.247716	Low
Classe3	Classe2	Classe3	Classe2	Classe4	Classe4	Classe3	Classe3	Classe3	Classe3	Classe3	Classe4	Classe3	Classe3	Classe3	Classe1	Classe3	Classe3	High	Low	0.561448	0.438552	Low
Classe5	Classe3	Classe3	Classe4	Classe1	Classe1	Classe4	Classe3	Classe1	Classe5	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe4	High	High	0.287807	0.712193	High
Classe3	Classe2	Classe3	Classe2	Classe2	Classe2	Classe3	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe3	Classe5	Classe3	Classe3	High	Low	0.477728	0.522272	High
Classe4	Classe2	Classe3	Classe3	Classe2	Classe1	Classe2	Classe4	Classe3	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe5	Classe4	Classe3	High	High	0.211844	0.788156	High
Classe2	Classe5	Classe4	Classe4	Classe1	Classe1	Classe2	Classe3	Classe2	Classe3	Classe2	Classe3	Classe5	Classe3	Classe3	Classe5	Classe4	Classe4	Low	High	0.366643	0.633357	High
